Spp,Label,Order,Zoonosis,ParasiteGMPD
Martes_martes,1,Carnivora,Rabies,
Martes_martes,1,Carnivora,Sarcocystosis,
Martes_martes,1,Carnivora,Thelaziasis,
Martes_martes,1,Carnivora,Toxoplasmosis,
Martes_martes,1,Carnivora,Trichinosis,
Martes_martes,1,Carnivora,Tularemia,
Martes_melampus,1,Carnivora,Japanese spotted fever,
Martes_melampus,1,Carnivora,Sarcocystosis,
Martes_melampus,1,Carnivora,Trichinosis,
Martes_pennanti,1,Carnivora,Sarcocystosis,
Martes_pennanti,1,Carnivora,Toxoplasmosis,
Martes_zibellina,0,Carnivora,,
Meles_anakuma,1,Carnivora,Sarcocystosis,
Meles_leucurus,0,Carnivora,,
Meles_meles,1,Carnivora,Bartonellosis - cat borne,Bartonella sp.
Meles_meles,1,Carnivora,Bartonellosis - other systemic,
Meles_meles,1,Carnivora,Bunyaviridae infections - misc.,
Meles_meles,1,Carnivora,Dirofilariasis,
Meles_meles,1,Carnivora,Histoplasmosis,
Meles_meles,1,Carnivora,Leishmaniasis - visceral,
Meles_meles,1,Carnivora,Leptospirosis,
Meles_meles,1,Carnivora,Sarcocystosis,
Meles_meles,1,Carnivora,Toxoplasmosis,
Meles_meles,1,Carnivora,Trichinosis,
Meles_meles,1,Carnivora,Tuberculosis,
Mellivora_capensis,1,Carnivora,Rabies,
Melogale_everetti,0,Carnivora,,
Melogale_moschata,1,Carnivora,Rabies,
Melogale_moschata,1,Carnivora,SARS,
Melogale_orientalis,0,Carnivora,,
Melogale_personata,0,Carnivora,,
Melursus_ursinus,0,Carnivora,,
Mephitis_macroura,1,Carnivora,West Nile fever,
Mephitis_mephitis,1,Carnivora,Anaplasmosis,Anaplasma sp.
Mephitis_mephitis,1,Carnivora,California encephalitis group,
Mephitis_mephitis,1,Carnivora,Paragonimiasis,
Mephitis_mephitis,1,Carnivora,Powassan,
Mephitis_mephitis,1,Carnivora,Rabies,
Mephitis_mephitis,1,Carnivora,Toxoplasmosis,
Mephitis_mephitis,1,Carnivora,Trypanosomiasis - American,
Mephitis_mephitis,1,Carnivora,Tularemia,
Mephitis_mephitis,1,Carnivora,West Nile fever,
Mirounga_angustirostris,1,Carnivora,Influenza,
Mirounga_leonina,1,Carnivora,Toxoplasmosis,
Monachus_monachus,1,Carnivora,Dirofilariasis,
Monachus_monachus,1,Carnivora,Leptospirosis,
Monachus_monachus,1,Carnivora,Toxoplasmosis,
Monachus_monachus,1,Carnivora,West Nile fever,
Monachus_schauinslandi,1,Carnivora,Dirofilariasis,
Monachus_schauinslandi,1,Carnivora,Leptospirosis,
Monachus_schauinslandi,1,Carnivora,Toxoplasmosis,
Monachus_tropicalis,0,Carnivora,,
Mungos_gambianus,0,Carnivora,,
Mungos_mungo,1,Carnivora,Leptospirosis,
Mungos_mungo,1,Carnivora,Tuberculosis,
Mungos_mungo,1,Carnivora,Vaccinia and cowpox,
Mungotictis_decemlineata,0,Carnivora,,
Mustela_africana,0,Carnivora,,
Mustela_altaica,1,Carnivora,Toxoplasmosis,
Mustela_erminea,1,Carnivora,Cryptosporidiosis,
Mustela_erminea,1,Carnivora,Trichinosis,
Mustela_eversmanii,0,Carnivora,,
Mustela_felipei,0,Carnivora,,
Mustela_frenata,0,Carnivora,,
Mustela_itatsi,1,Carnivora,Gnathostomiasis,
Mustela_kathiah,0,Carnivora,,
Mustela_lutreola,1,Carnivora,Leptospirosis,
Mustela_lutreola,1,Carnivora,Lyme disease,
Mustela_lutreolina,0,Carnivora,,
Mustela_nigripes,0,Carnivora,,
Mustela_nivalis,1,Carnivora,Leishmaniasis - cutaneous,
Mustela_nudipes,0,Carnivora,,
Mustela_putorius,1,Carnivora,Dirofilariasis,
Mustela_putorius,1,Carnivora,Leptospirosis,
Mustela_putorius,1,Carnivora,Rabies,
Mustela_putorius,1,Carnivora,Toxoplasmosis,
Mustela_sibirica,1,Carnivora,Gnathostomiasis,
Mustela_strigidorsa,0,Carnivora,,
Mustela_subpalmata,0,Carnivora,,
Mydaus_javanensis,0,Carnivora,,
Mydaus_marchei,0,Carnivora,,
Nandinia_binotata,1,Carnivora,Trypanosomiasis - African,
Nasua_narica,1,Carnivora,Baylisascariasis,
Nasua_narica,1,Carnivora,Rabies,
Nasua_narica,1,Carnivora,Trypanosomiasis - American,
Nasua_nasua,1,Carnivora,Baylisascariasis,
Nasua_nasua,1,Carnivora,Leishmaniasis - cutaneous,
Nasua_nasua,1,Carnivora,Leptospirosis,
Nasua_nasua,1,Carnivora,Mayaro,
Nasua_nasua,1,Carnivora,Paragonimiasis,
Nasua_nasua,1,Carnivora,Rabies,
Nasua_nasua,1,Carnivora,Trypanosomiasis - American,
Nasua_nasua,1,Carnivora,Tuberculosis,
Nasua_nasua,1,Carnivora,Vaccinia and cowpox,
Nasuella_olivacea,0,Carnivora,,
Neofelis_nebulosa,1,Carnivora,Toxoplasmosis,
Neophoca_cinerea,1,Carnivora,Cryptosporidiosis,
Neophoca_cinerea,1,Carnivora,Giardiasis,
Neovison_macrodon,0,Carnivora,,
Neovison_vison,1,Carnivora,Influenza,
Neovison_vison,1,Carnivora,Toxoplasmosis,
Nyctereutes_procyonoides,1,Carnivora,Anaplasmosis,Anaplasma sp.
Nyctereutes_procyonoides,1,Carnivora,Dipylidiasis,
Nyctereutes_procyonoides,1,Carnivora,Dirofilariasis,
Nyctereutes_procyonoides,1,Carnivora,Echinococcosis - multilocular,
Nyctereutes_procyonoides,1,Carnivora,Leishmaniasis - visceral,
Nyctereutes_procyonoides,1,Carnivora,Paragonimiasis,
Nyctereutes_procyonoides,1,Carnivora,Rabies,
Nyctereutes_procyonoides,1,Carnivora,Sarcocystosis,
Nyctereutes_procyonoides,1,Carnivora,SARS,
Nyctereutes_procyonoides,1,Carnivora,Toxocariasis,
Nyctereutes_procyonoides,1,Carnivora,Toxoplasmosis,
Nyctereutes_procyonoides,1,Carnivora,Trichinosis,
Nyctereutes_procyonoides,1,Carnivora,Tularemia,
Odobenus_rosmarus,1,Carnivora,Coccidioidomycosis,
Odobenus_rosmarus,1,Carnivora,Trichinosis,
Ommatophoca_rossii,0,Carnivora,,
Otaria_flavescens,1,Carnivora,Salmonellosis,
Otocyon_megalotis,1,Carnivora,Rabies,
Pagophilus_groenlandicus,0,Carnivora,,
Paguma_larvata,1,Carnivora,Campylobacteriosis,
Paguma_larvata,1,Carnivora,Rabies,
Paguma_larvata,1,Carnivora,Salmonellosis,
Paguma_larvata,1,Carnivora,SARS,
Paguma_larvata,1,Carnivora,Yersiniosis,
Panthera_leo,1,Carnivora,Anaplasmosis,Anaplasma phagocytophilum
Panthera_leo,1,Carnivora,Anthrax,Bacillus anthracis
Panthera_leo,1,Carnivora,Echinococcosis - unilocular,
Panthera_leo,1,Carnivora,Ehrlichiosis - human monocytic,
Panthera_leo,1,Carnivora,Gnathostomiasis,
Panthera_leo,1,Carnivora,Leishmaniasis - visceral,
Panthera_leo,1,Carnivora,Pentastomiasis - Armillifer,
Panthera_leo,1,Carnivora,Pentastomiasis - Linguatula,
Panthera_leo,1,Carnivora,Rabies,
Panthera_leo,1,Carnivora,Toxocariasis,
Panthera_leo,1,Carnivora,Toxoplasmosis,
Panthera_leo,1,Carnivora,Trypanosomiasis - African,
Panthera_leo,1,Carnivora,Tuberculosis,
Panthera_onca,1,Carnivora,Brucellosis,
Panthera_onca,1,Carnivora,Echinococcosis - American polycystic,
Panthera_onca,1,Carnivora,Leptospirosis,
Panthera_onca,1,Carnivora,Q-fever,
Panthera_onca,1,Carnivora,Rocky Mountain spotted fever,
Panthera_onca,1,Carnivora,Toxocariasis,
Panthera_onca,1,Carnivora,Toxoplasmosis,
Panthera_onca,1,Carnivora,Tungiasis,
Panthera_pardus,1,Carnivora,Dirofilariasis,
Panthera_pardus,1,Carnivora,Influenza,
Panthera_pardus,1,Carnivora,Pentastomiasis - Armillifer,
Panthera_pardus,1,Carnivora,Pentastomiasis - Linguatula,
Panthera_pardus,1,Carnivora,Toxoplasmosis,
Panthera_tigris,1,Carnivora,Bartonellosis - cat borne,Bartonella sp.
Panthera_tigris,1,Carnivora,Histoplasmosis,
Panthera_tigris,1,Carnivora,Influenza,
Panthera_tigris,1,Carnivora,Paragonimiasis,
Panthera_tigris,1,Carnivora,Toxoplasmosis,
Paracynictis_selousi,0,Carnivora,,
Paradoxurus_hermaphroditus,0,Carnivora,,
Paradoxurus_jerdoni,0,Carnivora,,
Paradoxurus_zeylonensis,1,Carnivora,Rabies,
Pardofelis_marmorata,0,Carnivora,,
Phoca_largha,1,Carnivora,Toxoplasmosis,
Phoca_vitulina,1,Carnivora,Coccidioidomycosis,
Phoca_vitulina,1,Carnivora,Cryptosporidiosis,
Phoca_vitulina,1,Carnivora,Dioctophyma renale infection,
Phoca_vitulina,1,Carnivora,Eastern equine encephalitis,
Phoca_vitulina,1,Carnivora,Giardiasis,
Phoca_vitulina,1,Carnivora,Leptospirosis,
Phoca_vitulina,1,Carnivora,Q-fever,
Phoca_vitulina,1,Carnivora,Toxoplasmosis,
Phocarctos_hookeri,1,Carnivora,Brucellosis,
Phocarctos_hookeri,1,Carnivora,Leptospirosis,
Poecilogale_albinucha,0,Carnivora,,
Poiana_leightoni,0,Carnivora,,
Poiana_richardsonii,0,Carnivora,,
Potos_flavus,1,Carnivora,Baylisascariasis,
Potos_flavus,1,Carnivora,Blastomycosis,
Potos_flavus,1,Carnivora,Leishmaniasis - cutaneous,
Potos_flavus,1,Carnivora,Mayaro,
Potos_flavus,1,Carnivora,Rabies,
Prionailurus_bengalensis,1,Carnivora,Bartonellosis - cat borne,Bartonella sp.
Prionailurus_iriomotensis,1,Carnivora,Bartonellosis - cat borne,Bartonella sp.
Prionailurus_planiceps,0,Carnivora,,
Prionailurus_rubiginosus,0,Carnivora,,
Prionailurus_viverrinus,1,Carnivora,Toxoplasmosis,
Prionodon_linsang,0,Carnivora,,
